NIVT_SAT	annee_ctr_f	nper_enq_f	npie_log_f	peri_ctr_f	puissto_f	qpay_ctr_f	tarif_f	niv_urb_f	annee_log_f	stat_log_f	type_log_f	emme_log_f	date_chf_f	chem_log_f	age_enq_f	ideal_chf_f	num_ind	i
2	1989a1990	1personne	2pieces	Indestmensu	6kVA	Qpay=6	Doubletarif	100Ma200Mhab	<=1948	Locataire	Individuel	entre1989et1990	entre1989et1990	Pascheminee	35a44ans	Gazvr	0714	18
2	1989a1990	1personne	2pieces	Indestmensu	6kVA	Qpay=9	Doubletarif	100Ma200Mhab	>=1989	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	45a54ans	Autre	0715	18
1	1986a1988	2personnes	4pieces	Indestmensu	>=12kVA	Qpay=5	Doubletarif	100Ma200Mhab	<=1948	Locataire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	55a64ans	Gazvr	0716	18
3	1981a1985	2personnes	3pieces	Relevenormal	6kVA	Qpay=6	Simpletarif	100Ma200Mhab	<=1948	Proprietaire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	35a44ans	Gazvr	0717	18
3	1971a1980	4personnes	>=6piec	Indestdeter	>=12kVA	Qpay=9	Doubletarif	100Ma200Mhab	1974->81	Proprietaire	Collectif	avant1982	avant1982	Pascheminee	45a54ans	Electric	0718	18
2	1989a1990	2personnes	3pieces	Indestdeter	9kVA	Qpay=9	Doubletarif	agglo.rurale	1974->81	Proprietaire	Individuel	entre1989et1990	avant1982	Cheminee	18a34ans	Electric	0719	18
3	1989a1990	2personnes	2pieces	Indestmensu	6kVA	Qpay=9	Doubletarif	20Ma50Mhab	>=1989	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Gazvr	0720	18
2	1971a1980	5perset+	4pieces	Mensualise	9kVA	Qpay=9	Doubletarif	agglo.rurale	1974->81	Proprietaire	Individuel	avant1982	avant1982	Pascheminee	35a44ans	Electric	0721	18
2	1986a1988	2personnes	3pieces	Mensualise	6kVA	Qpay=4	Doubletarif	20Ma50Mhab	1949->73	Locataire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	55a64ans	Electric	0722	18
3	1989a1990	1personne	1piece	Relevenormal	6kVA	Qpay=9	Doubletarif	100Ma200Mhab	>=1989	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Electric	0723	18
1	1971a1980	1personne	2pieces	Indestdeter	6kVA	Qpay=9	Doubletarif	100Ma200Mhab	1974->81	Proprietaire	Collectif	avant1982	avant1982	Pascheminee	45a54ans	Gazvr	0724	18
3	1971a1980	3personnes	>=6piec	Indestdeter	>=12kVA	Qpay=8	Doubletarif	agglo.rurale	1974->81	Proprietaire	Individuel	avant1982	avant1982	Pascheminee	65anset+	Electric	0725	18
3	1971a1980	2personnes	3pieces	Mensualise	9kVA	Qpay=8	Doubletarif	2Ma5Mhab	1949->73	Locataire	Individuel	avant1982	avant1982	Pascheminee	65anset+	Electric	0726	18
3	1989a1990	1personne	1piece	Mensualise	6kVA	Qpay=8	Simpletarif	20Ma50Mhab	1982->88	Proprietaire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	18a34ans	Fioul	0727	18
3	1989a1990	2personnes	1piece	Indestmensu	6kVA	Qpay=9	Doubletarif	20Ma50Mhab	1982->88	Locataire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	18a34ans	Electric	0728	18
3	1989a1990	1personne	1piece	Indestmensu	6kVA	Qpay=3	Doubletarif	5Ma10Mhab	1949->73	Locataire	Collectif	entre1989et1990	avant1982	Pascheminee	35a44ans	Electric	0729	18
2	1989a1990	2personnes	4pieces	Indestmensu	6kVA	Qpay=9	Doubletarif	20Ma50Mhab	1982->88	Proprietaire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	55a64ans	Electric	0730	18
2	1971a1980	3personnes	5pieces	Mensualise	>=12kVA	Qpay=8	Doubletarif	agglo.rurale	1974->81	Locataire	Individuel	avant1982	avant1982	Pascheminee	55a64ans	Gazvr	0731	18
3	1989a1990	4personnes	2pieces	Mensualise	9kVA	Qpay=4	Doubletarif	5Ma10Mhab	>=1989	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Gazvr	0732	18
3	1989a1990	4personnes	4pieces	Relevenormal	9kVA	Qpay=8	Doubletarif	agglo.rurale	<=1948	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	35a44ans	Electric	0733	18
3	1971a1980	2personnes	3pieces	Mensualise	9kVA	Qpay=8	Doubletarif	2Ma5Mhab	<=1948	Locataire	Individuel	avant1982	entre1989et1990	Cheminee	55a64ans	Electric	0734	18
3	1986a1988	1personne	1piece	Indestdeter	6kVA	Qpay=9	Doubletarif	2Ma5Mhab	<=1948	Locataire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	18a34ans	Electric	0735	18
2	1986a1988	4personnes	4pieces	Mensualise	9kVA	Qpay=4	Doubletarif	20Ma50Mhab	1982->88	Locataire	Individuel	entre1982et1988	entre1982et1988	Pascheminee	18a34ans	Gazvr	0736	18
2	1989a1990	1personne	1piece	Indestmensu	6kVA	Qpay=9	Doubletarif	20Ma50Mhab	<=1948	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Gazvr	0737	18
2	1989a1990	3personnes	4pieces	Mensualise	9kVA	Qpay=5	Doubletarif	10Ma20Mhab	>=1989	Locataire	Individuel	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Gazvr	0738	18
1	1971a1980	4personnes	5pieces	Indestdeter	>=12kVA	Qpay=8	Doubletarif	agglo.rurale	1974->81	Proprietaire	Collectif	avant1982	avant1982	Cheminee	45a54ans	Fioul	0739	18
3	1989a1990	2personnes	5pieces	Indestmensu	>=12kVA	Qpay=7	Doubletarif	agglo.rurale	>=1989	Locataire	Individuel	entre1989et1990	entre1989et1990	Cheminee	55a64ans	Bois	0740	18
1	1989a1990	1personne	4pieces	Indestmensu	>=12kVA	Qpay=9	Doubletarif	5Ma10Mhab	<=1948	Locataire	Collectif	entre1989et1990	avant1982	Pascheminee	65anset+	Fioul	0741	18
1	1989a1990	1personne	2pieces	Mensualise	6kVA	Qpay=8	Doubletarif	20Ma50Mhab	1949->73	Proprietaire	Collectif	entre1989et1990	avant1982	Pascheminee	18a34ans	Bois	0742	18
2	1989a1990	4personnes	5pieces	Indestmensu	>=12kVA	Qpay=6	Doubletarif	10Ma20Mhab	>=1989	Proprietaire	Individuel	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Gazvr	0743	18
2	1989a1990	1personne	3pieces	Indestdeter	9kVA	Qpay=8	Doubletarif	5Ma10Mhab	1982->88	Locataire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	35a44ans	Gazvr	0744	18
3	1989a1990	1personne	1piece	Mensualise	9kVA	Qpay=8	Doubletarif	2Ma5Mhab	>=1989	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	45a54ans	Electric	0745	18
3	1971a1980	2personnes	4pieces	Mensualise	9kVA	Qpay=9	Doubletarif	2Ma5Mhab	<=1948	Locataire	Individuel	avant1982	entre1982et1988	Cheminee	55a64ans	Gazvr	0746	18
1	1989a1990	4personnes	4pieces	Mensualise	9kVA	Qpay=8	Doubletarif	10Ma20Mhab	>=1989	Locataire	Individuel	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Gazvr	0747	18
1	1989a1990	1personne	3pieces	Mensualise	9kVA	Qpay=8	Doubletarif	20Ma50Mhab	1982->88	Proprietaire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	55a64ans	Gazvr	0748	18
2	1966a1970	2personnes	>=6piec	Mensualise	>=12kVA	Qpay=8	Doubletarif	agglo.rurale	1974->81	Proprietaire	Individuel	entre1982et1988	entre1982et1988	Cheminee	55a64ans	Electric	0749	18
3	1989a1990	1personne	2pieces	Indestmensu	6kVA	Qpay=8	Doubletarif	100Ma200Mhab	1982->88	Locataire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	18a34ans	Electric	0750	18
2	1986a1988	2personnes	4pieces	Indestmensu	9kVA	Qpay=3	Doubletarif	2Ma5Mhab	1982->88	Locataire	Individuel	entre1982et1988	entre1982et1988	Pascheminee	18a34ans	Electric	0751	18
2	1981a1985	3personnes	3pieces	Mensualise	>=12kVA	Qpay=9	Doubletarif	5Ma10Mhab	1949->73	Proprietaire	Individuel	entre1982et1988	avant1982	Pascheminee	35a44ans	Bois	0752	18
2	1986a1988	3personnes	4pieces	Indestdeter	9kVA	Qpay=9	Doubletarif	100Ma200Mhab	<=1948	Proprietaire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	45a54ans	Gazvr	0753	18
2	1989a1990	3personnes	5pieces	Indestmensu	9kVA	Qpay=8	Doubletarif	100Ma200Mhab	>=1989	Locataire	Individuel	entre1989et1990	entre1989et1990	Pascheminee	45a54ans	Electric	0754	18
1	1971a1980	3personnes	4pieces	Mensualise	9kVA	Qpay=9	Doubletarif	100Ma200Mhab	1974->81	Locataire	Collectif	avant1982	avant1982	Pascheminee	55a64ans	Electric	0755	18
2	91	2personnes	1piece	Indestmensu	9kVA	Qpay=8	Doubletarif	agglo.rurale	1974->81	Locataire	Collectif	entre1989et1990	avant1982	Cheminee	18a34ans	Bois	0756	18
2	1981a1985	2personnes	3pieces	Indestdeter	>=12kVA	Qpay=8	Doubletarif	100Ma200Mhab	<=1948	Proprietaire	Individuel	entre1982et1988	entre1982et1988	Cheminee	35a44ans	Electric	0757	18
2	1986a1988	1personne	4pieces	Indestdeter	>=12kVA	Qpay=8	Doubletarif	2Ma5Mhab	<=1948	Locataire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	18a34ans	Bois	0758	18
1	1971a1980	3personnes	3pieces	Mensualise	9kVA	Qpay=8	Doubletarif	100Ma200Mhab	<=1948	Proprietaire	Collectif	avant1982	avant1982	Cheminee	35a44ans	Gazvr	0759	18
3	1986a1988	4personnes	5pieces	Indestdeter	>=12kVA	Qpay=5	Doubletarif	20Ma50Mhab	1982->88	Proprietaire	Individuel	entre1982et1988	entre1982et1988	Cheminee	35a44ans	Gazvr	0760	18
2	1971a1980	2personnes	4pieces	Indestdeter	>=12kVA	Qpay=9	Doubletarif	100Ma200Mhab	1974->81	Proprietaire	Collectif	avant1982	avant1982	Pascheminee	55a64ans	Electric	0761	18
3	1989a1990	2personnes	4pieces	Relevenormal	6kVA	Qpay=8	Doubletarif	100Ma200Mhab	>=1989	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Gazvr	0762	18
2	1989a1990	1personne	1piece	Indestmensu	6kVA	Qpay=9	Doubletarif	100Ma200Mhab	1982->88	Locataire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	18a34ans	Gazvr	0763	18
2	1989a1990	2personnes	4pieces	Indestmensu	9kVA	Qpay=8	Doubletarif	100Ma200Mhab	1974->81	Proprietaire	Collectif	entre1989et1990	avant1982	Pascheminee	35a44ans	Gazvr	0764	18
2	1981a1985	4personnes	>=6piec	Indestdeter	>=12kVA	Qpay=6	Doubletarif	100Ma200Mhab	1974->81	Locataire	Individuel	entre1982et1988	avant1982	Pascheminee	35a44ans	Autre	0765	18
3	1971a1980	2personnes	5pieces	Mensualise	>=12kVA	Qpay=7	Doubletarif	100Ma200Mhab	1974->81	Proprietaire	Individuel	avant1982	avant1982	Cheminee	45a54ans	Electric	0766	18
2	1989a1990	4personnes	3pieces	Relevenormal	9kVA	Qpay=8	Doubletarif	20Ma50Mhab	>=1989	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	45a54ans	Gazvr	0767	18
1	91	4personnes	>=6piec	Indestmensu	>=12kVA	Qpay=8	Doubletarif	100Ma200Mhab	1974->81	Locataire	Individuel	entre1989et1990	avant1982	Cheminee	45a54ans	Electric	0768	18
3	1971a1980	4personnes	>=6piec	Mensualise	>=12kVA	Qpay=9	Doubletarif	100Ma200Mhab	1974->81	Proprietaire	Collectif	avant1982	avant1982	Cheminee	55a64ans	Autre	0769	18
3	1986a1988	2personnes	3pieces	Indestmensu	9kVA	Qpay=0,1,2	Doubletarif	100Ma200Mhab	1982->88	Proprietaire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	35a44ans	Electric	0770	18
3	1971a1980	3personnes	4pieces	Indestdeter	9kVA	Qpay=9	Doubletarif	100Ma200Mhab	1974->81	Proprietaire	Collectif	avant1982	avant1982	Pascheminee	45a54ans	Electric	0771	18
2	91	4personnes	4pieces	Indestmensu	9kVA	Qpay=8	Doubletarif	100Ma200Mhab	>=1989	Locataire	Individuel	entre1989et1990	entre1989et1990	Pascheminee	35a44ans	Autre	0772	18
2	1989a1990	1personne	3pieces	Indestmensu	9kVA	Qpay=9	Doubletarif	2Ma5Mhab	1974->81	Proprietaire	Collectif	entre1989et1990	avant1982	Pascheminee	45a54ans	Electric	0773	18
2	1986a1988	1personne	2pieces	Indestmensu	6kVA	Qpay=9	Doubletarif	100Ma200Mhab	1982->88	Locataire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	45a54ans	Gazvr	0774	18
2	1966a1970	3personnes	4pieces	Indestdeter	6kVA	Qpay=9	Doubletarif	100Ma200Mhab	1949->73	Proprietaire	Collectif	avant1982	avant1982	Pascheminee	55a64ans	Electric	0775	18
2	1981a1985	2personnes	3pieces	Indestmensu	>=12kVA	Qpay=9	Doubletarif	2Ma5Mhab	1974->81	Locataire	Individuel	entre1982et1988	avant1982	Pascheminee	55a64ans	Electric	0776	18
2	1981a1985	5perset+	5pieces	Mensualise	>=12kVA	Qpay=8	Doubletarif	2Ma5Mhab	<=1948	Proprietaire	Individuel	entre1982et1988	entre1982et1988	Cheminee	18a34ans	Electric	0777	18
1	1989a1990	2personnes	1piece	Indestmensu	6kVA	Qpay=8	Doubletarif	20Ma50Mhab	>=1989	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Bois	0778	18
2	1989a1990	1personne	1piece	Relevenormal	6kVA	Qpay=9	Doubletarif	100Ma200Mhab	<=1948	Locataire	Collectif	entre1989et1990	avant1982	Pascheminee	18a34ans	Autre	0779	18
2	1989a1990	2personnes	2pieces	Indestmensu	9kVA	Qpay=8	Doubletarif	100Ma200Mhab	1949->73	Locataire	Collectif	entre1989et1990	avant1982	Pascheminee	45a54ans	Electric	0780	18
3	1971a1980	1personne	3pieces	Indestdeter	6kVA	Qpay=8	Doubletarif	20Ma50Mhab	1974->81	Locataire	Collectif	avant1982	avant1982	Pascheminee	65anset+	Electric	0781	18
2	1989a1990	2personnes	3pieces	Relevenormal	9kVA	Qpay=8	Doubletarif	10Ma20Mhab	1982->88	Locataire	Individuel	entre1989et1990	entre1989et1990	Cheminee	18a34ans	Electric	0782	18
2	1971a1980	4personnes	>=6piec	Indestmensu	>=12kVA	Qpay=8	Simpletarif	2Ma5Mhab	<=1948	Proprietaire	Collectif	avant1982	avant1982	Cheminee	55a64ans	Electric	0783	18
2	1986a1988	1personne	2pieces	Relevenormal	9kVA	Qpay=4	Simpletarif	20Ma50Mhab	<=1948	Proprietaire	Collectif	entre1982et1988	entre1982et1988	Cheminee	18a34ans	Electric	0784	18
3	1971a1980	5perset+	>=6piec	Mensualise	>=12kVA	Qpay=8	Doubletarif	20Ma50Mhab	1949->73	Proprietaire	Individuel	avant1982	avant1982	Cheminee	55a64ans	Electric	0785	18
2	1981a1985	1personne	3pieces	Mensualise	9kVA	Qpay=6	Doubletarif	2Ma5Mhab	1982->88	Proprietaire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	18a34ans	Electric	0786	18
1	1986a1988	3personnes	4pieces	Indestdeter	>=12kVA	Qpay=9	Doubletarif	20Ma50Mhab	1949->73	Locataire	Individuel	entre1982et1988	entre1982et1988	Pascheminee	18a34ans	Gazvr	0787	18
2	1989a1990	1personne	2pieces	Indestmensu	>=12kVA	Qpay=9	Doubletarif	5Ma10Mhab	<=1948	Locataire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	35a44ans	Gazvr	0788	18
1	1989a1990	4personnes	4pieces	Mensualise	>=12kVA	Qpay=8	Doubletarif	2Ma5Mhab	1949->73	Locataire	Individuel	entre1989et1990	avant1982	Pascheminee	45a54ans	Fioul	0789	18
2	1966a1970	1personne	2pieces	Indestdeter	6kVA	Qpay=8	Simpletarif	20Ma50Mhab	1949->73	Locataire	Collectif	avant1982	entre1989et1990	Cheminee	55a64ans	Electric	0790	18
2	1981a1985	4personnes	>=6piec	Mensualise	>=12kVA	Qpay=9	Doubletarif	agglo.rurale	1974->81	Proprietaire	Individuel	avant1982	avant1982	Cheminee	18a34ans	Gazvr	0791	18
2	1989a1990	1personne	1piece	Indestmensu	6kVA	Qpay=8	Doubletarif	2Ma5Mhab	>=1989	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	35a44ans	Gazvr	0792	18
1	1989a1990	1personne	1piece	Indestdeter	9kVA	Qpay=7	Doubletarif	20Ma50Mhab	1982->88	Locataire	Individuel	entre1989et1990	entre1982et1988	Pascheminee	45a54ans	Electric	0793	18
3	1989a1990	1personne	4pieces	Indestmensu	9kVA	Qpay=8	Doubletarif	20Ma50Mhab	>=1989	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	55a64ans	Electric	0794	18
3	1989a1990	2personnes	4pieces	Relevenormal	6kVA	Qpay=8	Doubletarif	agglo.rurale	>=1989	Locataire	Individuel	entre1989et1990	entre1989et1990	Pascheminee	55a64ans	Gazvr	0795	18
3	1989a1990	1personne	1piece	Indestmensu	6kVA	Qpay=8	Doubletarif	20Ma50Mhab	1982->88	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Gazvr	0796	18
2	1989a1990	2personnes	3pieces	Indestmensu	9kVA	Qpay=9	Doubletarif	agglo.rurale	1982->88	Locataire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	18a34ans	Gazvr	0797	18
2	1986a1988	3personnes	3pieces	Relevenormal	<=3kVA	Qpay=8	Simpletarif	20Ma50Mhab	<=1948	Proprietaire	Collectif	avant1982	avant1982	Cheminee	35a44ans	Gazvr	0798	18
1	1971a1980	5perset+	4pieces	Indestdeter	6kVA	Qpay=7	Simpletarif	2Ma5Mhab	1949->73	Locataire	Collectif	avant1982	avant1982	Pascheminee	45a54ans	Electric	0799	18
2	1986a1988	5perset+	4pieces	Indestdeter	>=12kVA	Qpay=5	Doubletarif	2Ma5Mhab	1982->88	Locataire	Individuel	entre1982et1988	entre1982et1988	Pascheminee	45a54ans	Bois	0800	18
3	1989a1990	1personne	3pieces	Indestmensu	>=12kVA	Qpay=6	Doubletarif	20Ma50Mhab	>=1989	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	55a64ans	Electric	0801	18
2	1971a1980	1personne	2pieces	Mensualise	9kVA	Qpay=9	Doubletarif	agglo.rurale	<=1948	Proprietaire	Individuel	avant1982	avant1982	Cheminee	55a64ans	Electric	0802	18
3	1989a1990	1personne	3pieces	Indestdeter	6kVA	Qpay=8	Doubletarif	2Ma5Mhab	1982->88	Proprietaire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	65anset+	Electric	0803	18
1	1986a1988	3personnes	3pieces	Indestmensu	9kVA	Qpay=9	Doubletarif	100Ma200Mhab	1974->81	Locataire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	18a34ans	Gazvr	0804	18
2	1981a1985	1personne	1piece	Indestdeter	6kVA	Qpay=9	Doubletarif	2Ma5Mhab	1974->81	Locataire	Collectif	entre1982et1988	avant1982	Pascheminee	18a34ans	Gazvr	0805	18
3	1986a1988	5perset+	4pieces	Indestdeter	>=12kVA	Qpay=9	Doubletarif	2Ma5Mhab	1982->88	Proprietaire	Individuel	entre1982et1988	entre1982et1988	Cheminee	35a44ans	Electric	0806	18
3	1989a1990	2personnes	2pieces	Indestmensu	6kVA	Qpay=8	Doubletarif	100Ma200Mhab	>=1989	Locataire	Collectif	entre1989et1990	entre1989et1990	Cheminee	35a44ans	Electric	0807	18
1	1989a1990	3personnes	5pieces	Indestmensu	9kVA	Qpay=9	Doubletarif	100Ma200Mhab	>=1989	Locataire	Individuel	entre1989et1990	entre1989et1990	Pascheminee	35a44ans	Gazvr	0808	18
2	1981a1985	4personnes	5pieces	Mensualise	9kVA	Qpay=8	Doubletarif	100Ma200Mhab	1982->88	Locataire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	45a54ans	Electric	0809	18
2	1989a1990	4personnes	5pieces	Mensualise	>=12kVA	Qpay=8	Doubletarif	5Ma10Mhab	1982->88	Locataire	Individuel	entre1989et1990	entre1982et1988	Pascheminee	45a54ans	Electric	0810	18
2	1981a1985	2personnes	4pieces	Indestdeter	>=12kVA	Qpay=9	Doubletarif	100Ma200Mhab	1982->88	Proprietaire	Individuel	entre1982et1988	entre1982et1988	Cheminee	55a64ans	Gazvr	0811	18
2	1989a1990	1personne	2pieces	Indestmensu	6kVA	Qpay=8	Doubletarif	100Ma200Mhab	>=1989	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Electric	0812	18
2	1989a1990	5perset+	5pieces	Indestmensu	>=12kVA	Qpay=8	Doubletarif	100Ma200Mhab	1982->88	Locataire	Individuel	entre1989et1990	entre1982et1988	Pascheminee	35a44ans	Gazvr	0813	18
2	1989a1990	1personne	4pieces	Indestmensu	>=12kVA	Qpay=8	Doubletarif	100Ma200Mhab	1974->81	Locataire	Collectif	entre1989et1990	avant1982	Pascheminee	45a54ans	Gazvr	0814	18
2	1989a1990	2personnes	4pieces	Indestmensu	9kVA	Qpay=8	Doubletarif	agglo.rurale	1982->88	Locataire	Individuel	entre1989et1990	entre1982et1988	Cheminee	45a54ans	Fioul	0815	18
3	1981a1985	2personnes	4pieces	Indestdeter	9kVA	Qpay=9	Doubletarif	100Ma200Mhab	1974->81	Locataire	Collectif	avant1982	entre1982et1988	Pascheminee	55a64ans	Electric	0816	18
2	1989a1990	2personnes	4pieces	Mensualise	>=12kVA	Qpay=8	Doubletarif	100Ma200Mhab	1974->81	Locataire	Individuel	entre1989et1990	avant1982	Pascheminee	55a64ans	Electric	0817	18
2	1971a1980	4personnes	4pieces	Mensualise	9kVA	Qpay=3	Doubletarif	100Ma200Mhab	1949->73	Locataire	Individuel	avant1982	entre1982et1988	Pascheminee	55a64ans	Autre	0818	18
2	1971a1980	1personne	5pieces	Indestdeter	>=12kVA	Qpay=8	Doubletarif	100Ma200Mhab	<=1948	Locataire	Individuel	entre1989et1990	avant1982	Pascheminee	65anset+	Electric	0819	18
2	1981a1985	2personnes	2pieces	Indestdeter	6kVA	Qpay=8	Doubletarif	100Ma200Mhab	1982->88	Proprietaire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	18a34ans	Electric	0820	18
3	1971a1980	1personne	2pieces	Indestdeter	9kVA	Qpay=8	Doubletarif	100Ma200Mhab	<=1948	Proprietaire	Collectif	avant1982	avant1982	Cheminee	35a44ans	Gazvr	0821	18
3	91	3personnes	4pieces	Indestmensu	9kVA	Qpay=8	Doubletarif	100Ma200Mhab	1982->88	Locataire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	35a44ans	Electric	0822	18
2	1989a1990	1personne	5pieces	Mensualise	>=12kVA	Qpay=9	Doubletarif	100Ma200Mhab	1974->81	Proprietaire	Individuel	entre1989et1990	avant1982	Cheminee	45a54ans	Electric	0823	18
2	1989a1990	4personnes	4pieces	Mensualise	6kVA	Qpay=8	Doubletarif	100Ma200Mhab	1982->88	Proprietaire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	35a44ans	Electric	0824	18
2	1989a1990	4personnes	>=6piec	Mensualise	>=12kVA	Qpay=8	Doubletarif	100Ma200Mhab	>=1989	Proprietaire	Individuel	entre1989et1990	entre1989et1990	Pascheminee	35a44ans	Fioul	0825	18
3	1981a1985	3personnes	3pieces	Indestmensu	9kVA	Qpay=9	Doubletarif	agglo.rurale	1974->81	Locataire	Individuel	avant1982	avant1982	Pascheminee	45a54ans	Electric	0826	18
2	1989a1990	1personne	1piece	Indestmensu	6kVA	Qpay=8	Doubletarif	100Ma200Mhab	<=1948	Proprietaire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	18a34ans	Electric	0827	18
1	1989a1990	4personnes	5pieces	Mensualise	9kVA	Qpay=8	Doubletarif	100Ma200Mhab	1949->73	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	45a54ans	Gazvr	0828	18
2	1989a1990	2personnes	2pieces	Relevenormal	9kVA	Qpay=8	Doubletarif	100Ma200Mhab	1982->88	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	55a64ans	Gazvr	0829	18
2	1981a1985	3personnes	>=6piec	Indestmensu	9kVA	Qpay=0,1,2	Doubletarif	100Ma200Mhab	<=1948	Locataire	Individuel	avant1982	entre1982et1988	Cheminee	55a64ans	Electric	0830	18
2	1989a1990	2personnes	3pieces	Indestmensu	6kVA	Qpay=7	Simpletarif	20Ma50Mhab	1974->81	Locataire	Collectif	entre1989et1990	avant1982	Pascheminee	18a34ans	Gazvr	0831	18
1	1971a1980	5perset+	3pieces	Indestdeter	9kVA	Qpay=9	Doubletarif	agglo.rurale	<=1948	Proprietaire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	55a64ans	Fioul	0832	18
2	1989a1990	1personne	4pieces	Indestmensu	9kVA	Qpay=5	Doubletarif	agglo.rurale	>=1989	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	55a64ans	Bois	0833	18
2	1989a1990	4personnes	3pieces	Mensualise	9kVA	Qpay=7	Doubletarif	2Ma5Mhab	<=1948	Locataire	Individuel	entre1989et1990	entre1982et1988	Cheminee	18a34ans	Gazvr	0834	18
1	1989a1990	2personnes	3pieces	Indestmensu	9kVA	Qpay=8	Doubletarif	10Ma20Mhab	1982->88	Locataire	Individuel	entre1989et1990	entre1982et1988	Pascheminee	18a34ans	Fioul	0835	18
3	1989a1990	4personnes	5pieces	Mensualise	>=12kVA	Qpay=7	Doubletarif	20Ma50Mhab	<=1948	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	35a44ans	Electric	0836	18
1	1986a1988	2personnes	3pieces	Mensualise	9kVA	Qpay=6	Doubletarif	10Ma20Mhab	1974->81	Proprietaire	Collectif	entre1982et1988	avant1982	Pascheminee	45a54ans	Autre	0837	18
3	1989a1990	1personne	3pieces	Indestmensu	9kVA	Qpay=8	Doubletarif	10Ma20Mhab	1949->73	Locataire	Collectif	entre1989et1990	entre1982et1988	Cheminee	18a34ans	Bois	0838	18
2	1986a1988	4personnes	4pieces	Mensualise	>=12kVA	Qpay=5	Doubletarif	10Ma20Mhab	1982->88	Locataire	Individuel	entre1982et1988	entre1982et1988	Pascheminee	45a54ans	Electric	0839	18
2	1989a1990	3personnes	3pieces	Indestmensu	6kVA	Qpay=6	Doubletarif	5Ma10Mhab	1949->73	Locataire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	18a34ans	Electric	0840	18
1	1989a1990	5perset+	>=6piec	Relevenormal	9kVA	Qpay=8	Doubletarif	10Ma20Mhab	>=1989	Proprietaire	Individuel	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Bois	0841	18
2	1989a1990	1personne	3pieces	Indestmensu	>=12kVA	Qpay=9	Doubletarif	20Ma50Mhab	1974->81	Proprietaire	Collectif	entre1989et1990	avant1982	Pascheminee	55a64ans	Electric	0842	18
3	1966a1970	1personne	3pieces	Indestdeter	9kVA	Qpay=9	Doubletarif	2Ma5Mhab	1949->73	Proprietaire	Individuel	avant1982	avant1982	Pascheminee	55a64ans	Electric	0843	18
